lineage,v_gene,donor,lambda_S,lambda_R,r2,n_edges
beach_that_cherry_proof_outside_fish_broken_winner,IGHV3-13,02,0.0,0.0,-0.05780079106486835,11
begin_flat_bench_dash_water_attract_clever_shrimp,IGHV1-2,02,0.10991048294854354,0.0,0.01655021364849496,6
begin_make_fun_chapter_fiber_vibrant_cricket_coach,IGHV3-74,02,0.12622624108957922,4.6652417046165615,0.4617001013308192,4
behave_coffee_symbol_yellow_pause_ethics_latin_onion,IGHV5-51,02,0.18924699972343145,0.24013668473369493,0.31048553689997627,4
behind_legal_goat_edit_topple_pill_truly_brain,IGHV3-30,09,0.0,1.4389704504746388,0.37282838118728157,5
behind_mimic_fossil_curtain_tiny_junk_profit_saddle,IGHV1-46,02,0.1258126242400326,0.0,0.03164805192744202,4
beyond_start_novel_gospel_fruit_stomach_begin_rebel,IGHV3-74,05,0.0,0.0,-0.0753539903084699,5
bike_network_choice_blur_spike_urban_huge_bronze,IGHV3-30-3,02,0.06925330961052192,0.0,-0.02629137905593959,6
bird_impulse_lawsuit_crunch_advice_spare_describe_cotton,IGHV3-33,07,0.0019259129034240562,0.0,-0.0038540744868760246,7
bird_warrior_result_category_nominee_gadget_prevent_entire,IGHV3-21,02,0.0,0.0,-2.2297047954300604,5
blame_regular_cage_dwarf_cross_cotton_suggest_lion,IGHV1-58,02,0.012267291440727565,0.0,-0.21209873698658255,4
blame_sun_dad_busy_relax_liberty_veteran_enough,IGHV1-18,07,0.0,0.0,-0.1808254706687178,7
blanket_clutch_digital_drill_key_clay_cancel_scrap,IGHV3-48,03,0.1158479007336438,0.0,0.03251140464202551,7
blast_section_horn_yard_evil_spice_chief_mutual,IGHV3-74,02,0.41526494158785393,6.033656299020341,0.5635798384307603,6
blood_creek_oblige_ship_cause_craft_rookie_essence,IGHV4-NL1,07,0.0,0.0,-0.1506479097930269,6
blossom_midnight_siren_stay_swamp_museum_broken_carbon,IGHV4-34,02,0.10258272592118248,0.0,0.519850265820901,7
board_hover_inner_toward_finish_cream_escape_wash,IGHV3-7,08,0.022050993599612188,0.0,0.0028454086004724433,4
boat_pretty_clock_absurd_correct_bronze_tiny_loud,IGHV3-48,02,0.0,0.0,-0.7320310095134519,11
body_hold_field_achieve_polar_chicken_method_position,IGHV3-53,09,0.0,0.0,-0.006802835701531285,6
bonus_omit_cluster_orphan_vacant_crash_bright_write,IGHV1-46,01,0.05202324544746281,0.0,0.039530966057967354,4
